Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
501.93	6.7477	13.740	0.072778	21.029	21.520	49.686	117.07	354.16	254.91	2.4966	55.463	0.16349	0.0010325	3.6963	0.27054	31.342	33.168	72.891	127.76	715.00	235.96	11.127	19.654	0.096675
502.49	6.8139	13.633	0.073353	21.162	21.662	49.959	117.53	365.97	250.74	2.5838	54.868	0.16350	0.00097118	3.7776	0.26472	31.242	33.046	72.613	128.16	735.96	235.97	10.918	19.888	0.098539
503.05	6.8807	13.523	0.073950	21.297	21.806	50.235	118.01	378.82	246.61	2.6747	54.271	0.16353	0.00091046	3.8594	0.25911	31.143	32.926	72.341	128.56	753.52	235.88	10.711	20.129	0.10026
503.61	6.9480	13.410	0.074573	21.434	21.952	50.515	118.51	392.97	242.50	2.7700	53.670	0.16359	0.00085032	3.9414	0.25371	31.047	32.810	72.075	128.96	769.84	235.59	10.518	20.375	0.10193
504.18	7.0159	13.294	0.075223	21.572	22.100	50.799	119.02	408.80	238.40	2.8705	53.066	0.16369	0.00079080	4.0239	0.24851	30.953	32.696	71.815	129.35	787.18	235.03	10.345	20.626	0.10366
504.74	7.0842	13.175	0.075902	21.714	22.251	51.088	119.55	426.79	234.30	2.9773	52.456	0.16384	0.00073196	4.1073	0.24347	30.859	32.584	71.560	129.73	807.65	234.16	10.195	20.884	0.10554
505.30	7.1531	13.052	0.076616	21.857	22.405	51.383	120.10	447.68	230.16	3.0917	51.839	0.16407	0.00067385	4.1922	0.23854	30.766	32.473	71.307	130.09	833.17	232.97	10.069	21.151	0.10765
505.86	7.2224	12.925	0.077370	22.004	22.563	51.684	120.68	472.44	225.97	3.2153	51.213	0.16440	0.00061652	4.2795	0.23367	30.672	32.360	71.051	130.43	865.70	231.47	9.9655	21.429	0.11007
506.42	7.2923	12.793	0.078171	22.155	22.725	51.993	121.29	502.51	221.71	3.3500	50.573	0.16487	0.00056005	4.3703	0.22882	30.575	32.244	70.790	130.76	907.54	229.67	9.8813	21.721	0.11289
506.98	7.3626	12.654	0.079028	22.310	22.892	52.312	121.94	539.96	217.34	3.4981	49.916	0.16555	0.00050450	4.4659	0.22392	30.473	32.122	70.517	131.07	961.70	227.59	9.8135	22.033	0.11622
507.55	7.4334	12.507	0.079957	22.471	23.065	52.643	122.62	587.90	212.86	3.6620	49.235	0.16652	0.00044997	4.5679	0.21892	30.364	31.991	70.229	131.36	1032.6	225.25	9.7582	22.368	0.12020
508.11	7.5048	12.349	0.080977	22.639	23.247	52.989	123.37	651.11	208.26	3.8443	48.522	0.16790	0.00039657	4.6786	0.21374	30.244	31.848	69.916	131.64	1127.5	222.69	9.7106	22.736	0.12504
508.67	7.5766	12.178	0.082114	22.817	23.439	53.356	124.19	737.05	203.58	4.0470	47.765	0.16989	0.00034441	4.8010	0.20829	30.109	31.687	69.571	131.92	1258.6	219.91	9.6652	23.145	0.13109
509.23	7.6491	11.989	0.083411	23.008	23.646	53.750	125.10	857.28	198.90	4.2709	46.949	0.17273	0.00029364	4.9395	0.20245	29.954	31.503	69.179	132.19	1449.8	216.96	9.6143	23.613	0.13893
